Rk,Player,Age,Team,FGA,FGM,Lng,XPA,XPM
1,Brandon Aubrey,29,DAL,47,40,65,30,30
2,Chris Boswell,33,PIT,44,41,57,35,35
3,Cameron Dicker,24,LAC,42,39,59,36,33
4,Ka'imi Fairbairn,30,HOU,42,36,59,36,34
5,Jason Sanders,29,MIA,41,37,57,28,26
6,Daniel Carlson,29,LVR,40,34,54,25,23
7,Matt Gay,30,IND,37,31,56,33,33
8,Jake Elliott,29,PHI,36,28,50,48,47
9,Joshua Karty,22,LAR,34,29,58,36,32
11,Wil Lutz,30,DEN,34,31,55,46,46
13,Joey Slye,28,NWE,33,26,63,26,25
14,Chase McLaughlin,28,TAM,32,30,56,56,54
16,Blake Grupe,26,NOR,31,27,57,33,31
17,Jason Myers,33,SEA,30,26,59,40,37
20,Justin Tucker,35,BAL,30,22,56,62,60
21,Tyler Bass,27,BUF,29,24,61,64,59
22,Jake Bates,25,DET,29,26,58,67,64
23,Cam Little,21,JAX,29,27,59,27,27
24,Dustin Hopkins,34,CLE,27,18,56,20,17
25,Eddy Piniero,29,CAR,26,22,53,35,33
27,Cairo Santos,33,CHI,25,21,54,26,25